,AMR_Stock_Price,Date,Year_x,Month_x,Day_x,Weekday Name_x,UAL_Stock_Price,Year_y,Month_y,Day_y,Weekday Name_y
0,26.625,2000-07-03,2000,7,3,Monday,58.0,2000,7,3,Monday
1,27.25,2000-07-05,2000,7,5,Wednesday,56.125,2000,7,5,Wednesday
2,28.4375,2000-07-06,2000,7,6,Thursday,56.875,2000,7,6,Thursday
3,29.8125,2000-07-07,2000,7,7,Friday,58.125,2000,7,7,Friday
4,29.75,2000-07-10,2000,7,10,Monday,57.6875,2000,7,10,Monday
5,29.5,2000-07-11,2000,7,11,Tuesday,57.8125,2000,7,11,Tuesday
6,30.375,2000-07-12,2000,7,12,Wednesday,57.25,2000,7,12,Wednesday
7,30.625,2000-07-13,2000,7,13,Thursday,58.75,2000,7,13,Thursday
8,32.25,2000-07-14,2000,7,14,Friday,60.125,2000,7,14,Friday
9,32.625,2000-07-17,2000,7,17,Monday,61.0,2000,7,17,Monday
10,33.0625,2000-07-18,2000,7,18,Tuesday,60.625,2000,7,18,Tuesday
11,32.375,2000-07-19,2000,7,19,Wednesday,54.5,2000,7,19,Wednesday
12,31.5,2000-07-20,2000,7,20,Thursday,53.4375,2000,7,20,Thursday
13,31.875,2000-07-21,2000,7,21,Friday,52.9375,2000,7,21,Friday
14,32.625,2000-07-24,2000,7,24,Monday,53.125,2000,7,24,Monday
15,33.375,2000-07-25,2000,7,25,Tuesday,53.25,2000,7,25,Tuesday
16,32.9375,2000-07-26,2000,7,26,Wednesday,54.125,2000,7,26,Wednesday
17,33.0,2000-07-27,2000,7,27,Thursday,53.9375,2000,7,27,Thursday
18,33.1875,2000-07-28,2000,7,28,Friday,53.0625,2000,7,28,Friday
19,31.375,2000-07-31,2000,7,31,Monday,51.875,2000,7,31,Monday
20,33.5,2000-08-01,2000,8,1,Tuesday,54.0,2000,8,1,Tuesday
21,33.125,2000-08-02,2000,8,2,Wednesday,53.0,2000,8,2,Wednesday
22,31.75,2000-08-03,2000,8,3,Thursday,52.3125,2000,8,3,Thursday
23,32.6875,2000-08-04,2000,8,4,Friday,52.875,2000,8,4,Friday
24,33.5,2000-08-07,2000,8,7,Monday,53.25,2000,8,7,Monday
25,33.9375,2000-08-08,2000,8,8,Tuesday,53.375,2000,8,8,Tuesday
26,33.75,2000-08-09,2000,8,9,Wednesday,52.0,2000,8,9,Wednesday
27,33.1875,2000-08-10,2000,8,10,Thursday,51.5,2000,8,10,Thursday
28,34.125,2000-08-11,2000,8,11,Friday,49.9375,2000,8,11,Friday
29,34.3125,2000-08-14,2000,8,14,Monday,51.875,2000,8,14,Monday
30,33.5,2000-08-15,2000,8,15,Tuesday,50.75,2000,8,15,Tuesday
31,33.375,2000-08-16,2000,8,16,Wednesday,49.8125,2000,8,16,Wednesday
32,32.5,2000-08-17,2000,8,17,Thursday,48.875,2000,8,17,Thursday
33,32.875,2000-08-18,2000,8,18,Friday,48.6875,2000,8,18,Friday
34,32.5,2000-08-21,2000,8,21,Monday,49.6875,2000,8,21,Monday
35,33.625,2000-08-22,2000,8,22,Tuesday,49.125,2000,8,22,Tuesday
36,33.1875,2000-08-23,2000,8,23,Wednesday,48.625,2000,8,23,Wednesday
37,32.125,2000-08-24,2000,8,24,Thursday,47.75,2000,8,24,Thursday
