,AMR_Stock_Price,Date,Year_x,Month_x,Day_x,Weekday Name_x,UAL_Stock_Price,Year_y,Month_y,Day_y,Weekday Name_y
0,35.87,2001-07-02,2001,7,2,Monday,35.81,2001,7,2,Monday
1,35.88,2001-07-03,2001,7,3,Tuesday,34.8,2001,7,3,Tuesday
2,36.92,2001-07-05,2001,7,5,Thursday,34.72,2001,7,5,Thursday
3,36.75,2001-07-06,2001,7,6,Friday,34.55,2001,7,6,Friday
4,35.2,2001-07-09,2001,7,9,Monday,33.6,2001,7,9,Monday
5,36.15,2001-07-10,2001,7,10,Tuesday,34.3,2001,7,10,Tuesday
6,35.8,2001-07-11,2001,7,11,Wednesday,33.98,2001,7,11,Wednesday
7,36.7,2001-07-12,2001,7,12,Thursday,34.76,2001,7,12,Thursday
8,37.44,2001-07-13,2001,7,13,Friday,35.35,2001,7,13,Friday
9,38.0,2001-07-16,2001,7,16,Monday,35.83,2001,7,16,Monday
10,37.15,2001-07-17,2001,7,17,Tuesday,35.64,2001,7,17,Tuesday
11,35.65,2001-07-18,2001,7,18,Wednesday,35.0,2001,7,18,Wednesday
12,36.0,2001-07-19,2001,7,19,Thursday,35.23,2001,7,19,Thursday
13,36.18,2001-07-20,2001,7,20,Friday,34.17,2001,7,20,Friday
14,36.0,2001-07-23,2001,7,23,Monday,34.7,2001,7,23,Monday
15,35.97,2001-07-24,2001,7,24,Tuesday,34.4,2001,7,24,Tuesday
16,35.8,2001-07-25,2001,7,25,Wednesday,33.95,2001,7,25,Wednesday
17,35.55,2001-07-26,2001,7,26,Thursday,33.5,2001,7,26,Thursday
18,35.65,2001-07-27,2001,7,27,Friday,33.99,2001,7,27,Friday
19,35.05,2001-07-30,2001,7,30,Monday,33.65,2001,7,30,Monday
20,34.95,2001-07-31,2001,7,31,Tuesday,34.05,2001,7,31,Tuesday
21,35.15,2001-08-01,2001,8,1,Wednesday,34.25,2001,8,1,Wednesday
22,36.0,2001-08-02,2001,8,2,Thursday,35.07,2001,8,2,Thursday
23,35.0,2001-08-03,2001,8,3,Friday,34.35,2001,8,3,Friday
24,34.35,2001-08-06,2001,8,6,Monday,34.5,2001,8,6,Monday
25,34.11,2001-08-07,2001,8,7,Tuesday,34.25,2001,8,7,Tuesday
26,34.24,2001-08-08,2001,8,8,Wednesday,34.56,2001,8,8,Wednesday
27,33.81,2001-08-09,2001,8,9,Thursday,34.5,2001,8,9,Thursday
28,33.25,2001-08-10,2001,8,10,Friday,33.96,2001,8,10,Friday
29,33.87,2001-08-13,2001,8,13,Monday,34.94,2001,8,13,Monday
30,33.8,2001-08-14,2001,8,14,Tuesday,34.5,2001,8,14,Tuesday
31,33.85,2001-08-15,2001,8,15,Wednesday,34.75,2001,8,15,Wednesday
32,33.05,2001-08-16,2001,8,16,Thursday,34.08,2001,8,16,Thursday
33,32.95,2001-08-17,2001,8,17,Friday,34.7,2001,8,17,Friday
34,32.45,2001-08-20,2001,8,20,Monday,34.0,2001,8,20,Monday
35,33.13,2001-08-21,2001,8,21,Tuesday,34.6,2001,8,21,Tuesday
36,32.25,2001-08-22,2001,8,22,Wednesday,34.01,2001,8,22,Wednesday
37,32.1,2001-08-23,2001,8,23,Thursday,33.5,2001,8,23,Thursday
38,32.97,2001-08-24,2001,8,24,Friday,33.2,2001,8,24,Friday
39,33.65,2001-08-27,2001,8,27,Monday,34.3,2001,8,27,Monday
40,33.55,2001-08-28,2001,8,28,Tuesday,33.75,2001,8,28,Tuesday
41,33.26,2001-08-29,2001,8,29,Wednesday,33.65,2001,8,29,Wednesday
42,32.65,2001-08-30,2001,8,30,Thursday,32.65,2001,8,30,Thursday
43,32.4,2001-08-31,2001,8,31,Friday,32.8,2001,8,31,Friday
44,32.01,2001-09-04,2001,9,4,Tuesday,32.69,2001,9,4,Tuesday
45,32.15,2001-09-05,2001,9,5,Wednesday,32.6,2001,9,5,Wednesday
46,31.45,2001-09-06,2001,9,6,Thursday,32.25,2001,9,6,Thursday
47,30.7,2001-09-07,2001,9,7,Friday,31.7,2001,9,7,Friday
48,29.95,2001-09-10,2001,9,10,Monday,30.65,2001,9,10,Monday
